293,INTO YOUR HEART (Ruffage remix),-,-,-,-,-,-,-,-,-
294,Lift You Up,-,-,-,-,-,-,-,-,-
295,LOVING YOU (Epidemik remix),-,-,-,-,-,-,-,-,-
296,Malacca,-,-,-,-,-,-,-,-,-
297,MAX 300(X-Special),-,,-,,573410,-,,-,-
298,MAXX UNLIMITED(X-Special),-,,-,,-,-,,-,-
299,on the bounce,-,-,747250,876650,728710,-,-,-,-
300,On The Break,-,-,-,-,-,-,-,-,-
301,PARANOiA ETERNAL(X-Special),-,,-,,879350,-,,-,-
302,PARANOIA EVOLUTION(X-Special),-,,-,,-,-,,-,-
303,PARANOiA MAX～DIRTY MIX～(X-Special),-,,-,,788570,-,,-,-
304,PARANOiA Rebirth(X-Special),-,,-,,-,-,,-,-
305,PARANOiA(X-Special),-,,-,,758180,-,,-,-
306,Party Lights,-,-,-,-,-,-,-,-,-
307,Playa (Original Mix),-,-,-,-,-,-,-,-,-
308,puzzle,-,-,-,-,-,-,-,-,-
309,S・A・G・A,-,-,-,941660,-,-,-,-,-
310,SABER WING,-,-,-,753460,-,-,-,-,-
311,SABER WING (Akira Ishihara Headshot mix),-,-,925810,803010,502070,-,-,-,-
312,Slip Out,-,-,-,-,-,-,-,-,-
313,Slip Out (bounce in beat mix),-,-,-,-,-,-,-,-,-
314,SP-TRIP MACHINE～JUNGLE MIX～(X-Special),-,,-,,-,-,,-,-
315,SUPER SAMURAI,-,-,-,-,-,-,-,-,-
316,Taj He Spitz,-,-,-,-,-,-,-,-,-
317,Taj He Spitz (Tommie Sunshine's Brooklyn Fire Re-Touch),-,-,-,-,-,-,-,-,-
318,Take A Chance,-,-,-,-,-,-,-,-,-
319,The flower in your smile,-,-,-,-,-,-,-,-,-
320,The legend of MAX(X-Special),-,,-,,654830,-,,-,-
321,Ticket to Bombay,-,-,-,-,-,-,-,-,-
322,Till the lonely's gone,-,-,-,-,-,-,-,-,-
323,TimeHollow,-,-,-,-,-,-,-,-,-
324,Tracers (4Beat Remix),-,-,-,-,-,-,-,-,-
325,Trickster,-,-,-,-,-,-,-,-,-
326,Trigger,-,-,-,-,-,-,-,-,-
327,TRIP MACHINE CLIMAX(X-Special),-,,-,,-,-,,-,-
328,TRIP MACHINE(X-Special),-,,-,,886470,-,,-,-
329,Übertreffen,-,-,-,-,-,-,-,-,-
330,Waiting 4 u,-,-,-,-,-,-,-,-,-
331,will,-,-,-,-,-,-,-,-,-
332,ポリリズム,-,-,-,-,-,-,-,-,-
333,革命(X-Special),-,,-,,807530,-,,-,-
334,零 - ZERO -,-,-,-,768240,-,-,-,-,-
335,凛として咲く花の如く,-,828060,-,880550,-,-,-,-,-
336,888,-,-,717600,789270,-,-,-,-,-
337,☆shining☆,-,-,-,-,-,-,-,-,-
338,A Brighter Day,-,-,-,-,-,-,-,-,-
339,aftershock!!,-,-,-,903910,-,-,-,-,-
340,All My Love,-,-,-,-,-,-,-,-,-
341,Anti-Matter,-,-,806780,622210,-,-,-,-,-
342,BALLAD THE FEATHERS,-,-,-,-,-,-,-,-,-
343,CG Project,-,-,955080,925560,-,-,-,-,-
344,Crazy Control,-,-,-,-,-,-,-,-,-
345,Dazzlin' Darlin,-,-,830650,944640,-,-,-,-,-
346,Dazzlin' Darlin-秋葉工房mix-,-,-,978960,971970,-,-,-,-,-
347,Decade,-,-,-,-,-,-,-,-,-
348,dirty digital,-,-,-,-,-,-,-,-,-
349,DROP,-,-,-,-,-,-,-,-,-
350,Dummy,-,-,-,-,-,-,-,-,-
351,FIRE FIRE,-,-,-,881050,-,-,-,-,-
352,Freeze,-,-,-,-,-,-,-,-,-
353,going up,-,-,-,-,-,-,-,-,-
354,GOLD RUSH,-,-,-,-,-,-,-,-,-
355,Gotta Dance,-,-,-,-,-,-,-,-,-
356,Heatstroke,-,-,-,-,-,-,-,-,-
357,IF YOU WERE HERE,-,-,-,-,-,-,-,-,-
